id;product_name;stock_name;quantite;product_price;total;created_by;created_date;last_modified_by;last_modified_date
1;FTP;c plug-and-play Savings;28831;53840;29694;success a;2022-11-03T06:27:40;quantifying Tugrik;2022-11-03T08:02:27
2;Shirt Bedfordshire bluetooth;Shoes Keyboard olive;93998;67015;32959;magnetic;2022-11-02T18:43:19;Panoramas gold;2022-11-02T18:56:46
3;fuchsia Technicien yellow;Fish Handmade up;68414;48251;94588;Fresh payment;2022-11-02T21:11:50;Unbranded yellow;2022-11-03T14:18:08
4;partnerships Beauty connect;cutting-edge;75350;14610;68945;navigating withdrawal;2022-11-03T12:34:59;cultivate;2022-11-03T13:14:24
5;SQL frame;Vaugirard calculate;27477;76719;6765;programming Buckinghamshire Intelligent;2022-11-03T13:54:53;Jewelery e-business Poitou-Charentes;2022-11-03T02:55:04
6;navigate;Borders;79762;52788;8766;pixel de Account;2022-11-02T18:29:31;quantifying;2022-11-03T08:41:02
7;communities morph;Avon Franche-Comté;48400;78071;59554;Specialiste Account;2022-11-03T01:27:51;Investment synthesizing parse;2022-11-02T18:07:42
8;Mandatory;redundant;32985;80851;51634;Haute-Normandie blue a;2022-11-03T00:37:07;de;2022-11-03T04:45:53
9;bypassing brand;hack b;26048;39875;8060;payment;2022-11-03T11:31:58;SAS up Specialiste;2022-11-03T10:58:34
10;local Shirt;Pays-Bas;55480;20793;44694;Towels;2022-11-03T03:06:32;Practical Avon connect;2022-11-03T06:32:27
