id;product_name;stock_name;quantite;transaction_type;description;created_by;created_date;last_modified_by;last_modified_date
1;programming Bangladesh;Bacon;26981;PRODUCTSALE;a Refined;hard Dollar Account;2022-11-03T09:01:25;Loan;2022-11-03T06:29:40
2;sensor regional;a;89736;PRODUCTSALE;redundant Lettonie;cross-platform Picardie white;2022-11-02T19:18:12;Bedfordshire;2022-11-02T22:03:28
3;hacking Palau;calculate Monaco open-source;46773;SALECANCELLED;Rhône-Alpes array Allemagne;parsing Metal;2022-11-03T11:02:54;salmon a;2022-11-03T08:10:22
4;e-tailers Molière;Micronésie Cuba;68743;PRODUCTSALE;Zadkine circuit;Cotton withdrawal;2022-11-02T18:41:17;yellow;2022-11-03T10:43:02
5;withdrawal calculating;Account Chips;25991;PRODUCTSALE;Buckinghamshire Metal;parsing;2022-11-03T05:04:18;policy cross-platform;2022-11-03T00:31:37
6;Faubourg leverage JBOD;programming Borders Technicien;90000;PRODUCTSALE;b du;Progressive;2022-11-02T14:49:11;cross-platform;2022-11-02T21:32:01
7;alarm payment generating;Joubert experiences;17572;SALECANCELLED;digital Kids mint;scale Pastourelle;2022-11-02T19:56:27;embrace matrix b;2022-11-03T01:58:09
8;withdrawal;Gloves FTP;54109;PRODUCTSALE;Granite Outdoors;Manager multi-byte;2022-11-02T17:06:04;Richelieu;2022-11-03T11:58:07
9;salmon synthesizing Népal;invoice connect;5722;SALECANCELLED;Islands;cohesive Small withdrawal;2022-11-02T14:58:08;withdrawal;2022-11-03T12:12:31
10;Sleek groupware;orchid;94316;SALECANCELLED;Salad Wooden;Gloves;2022-11-03T01:55:58;Chicken Ouguiya Ball;2022-11-03T10:26:16
