id;quantite;name;delivery_date;expiration_date;prix_stock
1;26856;AI Account c;2022-11-02T20:33:30;2022-11-03T08:18:38;54111
2;98388;white navigating;2022-11-03T11:19:52;2022-11-03T05:16:20;33489
3;87459;cross-platform Producteur;2022-11-03T00:42:01;2022-11-02T21:53:05;76746
4;73534;visualize Ergonomic Berkshire;2022-11-03T00:02:55;2022-11-02T18:47:27;48942
5;40111;Gloves system XML;2022-11-03T04:46:14;2022-11-03T13:14:15;45912
6;92424;1080p quantify Timor;2022-11-02T21:44:39;2022-11-03T01:59:05;20726
7;87180;bXX;2022-11-03T11:35:43;2022-11-02T16:37:54;64385
8;70571;synthesizing Secured experiences;2022-11-02T16:52:17;2022-11-03T00:38:36;42429
9;21349;Handmade AGP technologies;2022-11-02T16:29:54;2022-11-03T14:08:33;93991
10;31988;Midi-Pyrénées Caribbean ubiquitous;2022-11-03T05:48:51;2022-11-03T01:08:39;13924
