id;quantite;stock_name;product_name;delivery_date;expiration_date;created_by;created_date;last_modified_by;last_modified_date
1;66217;exploit functionalities Kids;la;2022-11-02T18:44:44;2022-11-03T01:48:38;global CSS;2022-11-03T02:42:09;Licensed Ingenieur Molière;2022-11-02T20:32:51
2;30393;THX ivory;Rubber;2022-11-02T14:52:48;2022-11-02T14:56:13;Tasty Haute-Normandie;2022-11-03T13:22:49;Pizza;2022-11-03T01:21:05
3;50153;port matrix web-enabled;Vanuatu;2022-11-03T08:32:42;2022-11-02T20:27:46;a;2022-11-02T16:37:40;cohesive;2022-11-02T14:53:58
4;58894;leading-edge;Specialiste;2022-11-02T18:36:50;2022-11-03T12:29:51;de;2022-11-03T12:22:01;pink;2022-11-03T04:33:18
5;24376;indigo Centre Franc;User-centric Seychelles Montorgueil;2022-11-03T01:36:40;2022-11-02T15:55:32;Intelligent d'Alésia;2022-11-03T03:49:29;ivory;2022-11-03T01:08:57
6;20011;recontextualize;Centre;2022-11-03T07:40:19;2022-11-03T03:35:24;a Wooden Intelligent;2022-11-02T19:23:38;Analyste solution;2022-11-03T03:44:56
7;81073;Berkshire;de Stagiaire;2022-11-02T22:05:04;2022-11-03T11:09:08;des;2022-11-02T20:47:03;Buckinghamshire Auto incentivize;2022-11-03T04:11:33
8;12102;Auto;neural;2022-11-03T13:21:08;2022-11-02T20:15:48;archive generation reintermediate;2022-11-03T11:59:57;content Games;2022-11-03T06:47:11
9;74899;up Buckinghamshire up;global;2022-11-02T16:00:24;2022-11-03T00:59:50;mesh port navigating;2022-11-03T03:43:11;program;2022-11-02T18:38:58
10;47079;Fantastic;a;2022-11-02T18:33:00;2022-11-03T11:28:32;intangible connecting;2022-11-02T16:44:42;matrix Executif Licensed;2022-11-03T07:54:23
